,No.,Time,Source,Destination,Protocol,Length,Info
47,48,14.485914,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
48,49,14.485918,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
49,50,14.634864,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
50,51,14.634865,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
51,52,14.663758,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
52,53,14.66376,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
53,54,14.818106,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
54,55,14.81811,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
55,56,14.818366,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
56,57,14.81838,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
57,58,14.818453,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
58,59,14.818454,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
59,60,14.831157,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
60,61,14.83116,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
61,62,14.924189,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
62,63,14.924197,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
63,64,15.080313,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
64,65,15.080315,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
65,66,15.505946,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
66,67,15.505948,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
67,68,15.565124,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
68,69,15.565127,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
69,70,15.565231,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
70,71,15.565233,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
71,72,15.565933,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
72,73,15.565935,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
73,74,15.597125,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
74,75,15.597126,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
75,76,15.808127,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
76,77,15.808131,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
77,78,15.834077,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
78,79,15.834079,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
79,80,16.320805,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
80,81,16.320809,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
81,82,16.320877,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
82,83,16.320878,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
83,84,16.320921,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
84,85,16.320922,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
85,86,16.548465,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
