,No.,Time,Source,Destination,Protocol,Length,Info
67,68,8.324082,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
68,69,8.525968,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
69,70,8.525971,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
70,71,9.064119,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
71,72,9.064121,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
72,73,9.076812,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
73,74,9.076814,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
74,75,9.076869,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
75,76,9.07687,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
76,77,9.076906,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
77,78,9.076907,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
78,79,9.167422,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
79,80,9.167424,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
80,81,9.275254,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
81,82,9.275257,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
82,83,9.374828,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
83,84,9.374832,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
84,85,9.764554,***.***.***.***,***.***.***.***,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
85,86,9.831166,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
86,87,9.831169,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
87,88,10.026076,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
88,89,10.026079,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
89,90,10.104602,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
90,91,10.104605,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
91,92,10.12037,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
92,93,10.120372,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
93,94,10.135576,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
94,95,10.135578,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
95,96,10.167833,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
96,97,10.167835,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
97,98,10.198724,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
98,99,10.198726,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
99,100,10.385752,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
100,101,10.385754,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
101,102,10.401374,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
102,103,10.401376,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
103,104,10.571977,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
104,105,10.571981,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
105,106,10.761004,***.***.***.***,***.***.***.***,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
106,107,10.786464,***.***.***.***,***.***.***.***,DNS,76,Standard query 0xab76 A www.msftncsi.com
107,108,10.868916,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
108,109,10.868919,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
109,110,11.325253,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
110,111,11.325257,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
111,112,11.62383,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x025f A isatap
112,113,11.623835,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x025f A isatap
113,114,11.656559,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
114,115,11.656563,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
