"Source","Destination","Protocol","Info"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x4163 A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x69e6 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x69e6 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x69e6 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x69e6 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x96f1 A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x96f1 A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x96f1 A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x96f1 A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x09c0 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x09c0 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x09c0 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x09c0 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x6e6e A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x6e6e A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x6e6e A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x6e6e A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x21c1 ANY None"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x21c1 ANY None"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x21c1 ANY None"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x21c1 ANY None"
"192.168.56.101","239.255.255.250","SSDP","M-SEARCH * HTTP/1.1 "
"192.168.56.101","239.255.255.250","SSDP","M-SEARCH * HTTP/1.1 "
"192.168.56.101","239.255.255.250","SSDP","M-SEARCH * HTTP/1.1 "
"192.168.56.101","239.255.255.250","SSDP","M-SEARCH * HTTP/1.1 "
"192.168.56.101","239.255.255.250","SSDP","M-SEARCH * HTTP/1.1 "
"192.168.56.101","239.255.255.250","SSDP","M-SEARCH * HTTP/1.1 "
"192.168.56.101","239.255.255.250","SSDP","M-SEARCH * HTTP/1.1 "
"192.168.56.101","239.255.255.250","SSDP","M-SEARCH * HTTP/1.1 "
