,No.,Time,Source,Destination,Protocol,Length,Info
154,155,16.234273,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
155,156,16.234278,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
156,157,16.342537,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc9cb A isatap
157,158,16.342538,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc9cb A isatap
158,159,16.434873,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc9cb A isatap
159,160,16.434875,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc9cb A isatap
160,161,16.64035,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
161,162,16.640355,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
162,163,16.688088,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xab76 A www.msftncsi.com
163,164,17.387514,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
164,165,17.387516,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
165,166,17.703592,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
166,167,17.703596,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
167,168,17.965917,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
168,169,17.965921,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
169,170,18.1397,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
170,171,18.139703,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
171,172,18.89476,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x96f1 A isatap
172,173,18.894762,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x96f1 A isatap
173,174,18.997293,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x96f1 A isatap
174,175,18.997295,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x96f1 A isatap
175,176,19.204315,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
176,177,19.204319,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
177,178,19.204695,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
178,179,19.204697,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
179,180,19.637224,192.168.56.101,8.8.8.8,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
180,181,19.949942,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
181,182,19.949945,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
182,183,20.686334,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xab76 A www.msftncsi.com
183,184,20.701559,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
184,185,20.701562,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
185,186,20.701832,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
186,187,20.701834,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
187,188,20.966947,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
188,189,20.966949,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
189,190,21.700451,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
190,191,21.700455,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
191,192,22.703386,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
192,193,22.70339,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
193,194,23.701296,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
194,195,23.7013,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
195,196,23.79247,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x6e6e A dns.msftncsi.com
196,197,24.700247,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
197,198,24.70025,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
198,199,24.781831,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x6e6e A dns.msftncsi.com
199,200,25.451664,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
200,201,25.451666,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
201,202,25.783067,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x6e6e A dns.msftncsi.com
202,203,26.20462,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
